CPU-001;AMD Ryzen 5 3600;107800;10;AMD Chile
CPU-002;AMD Ryzen 9 5900X;383790;5;AMD Chile
CPU-003;Intel Core i3 4150;8360;15;Intel Corp
CPU-004;Intel Core i5-12400F;143088;10;Intel Corp
CPU-005;AMD Ryzen 5 5600G;137489;12;AMD Chile
CPU-006;Intel Core i5 3570 3rd Gen;17930;20;Intel Corp
CPU-007;AMD Ryzen 7 5800X3D;299990;8;AMD Chile
CPU-008;Intel Core i9-13900K;580000;3;Intel Corp
CPU-009;Intel Core i7-12700K;310000;6;Intel Corp
CPU-010;AMD Ryzen 5 7600X;245000;10;AMD Chile
GPU-001;ASUS NVIDIA GeForce GT 730 2GB;48389;15;ASUS Latam
GPU-002;ZEBRONICS ZEB-GT610 2GB;22539;20;Zebronics Official
GPU-003;ZOTAC NVIDIA GTX 1650 4GB;153450;5;Zotac Gaming
GPU-004;ASUS AMD Radeon RX 550 4GB;109989;8;ASUS Latam
GPU-005;GIGABYTE NVIDIA GT 710 2GB;43989;12;Gigabyte Tech
GPU-006;MSI NVIDIA GeForce RTX 3060 12GB;290000;7;MSI Chile
GPU-007;GIGABYTE NVIDIA GeForce RTX 4060 8GB;320000;10;Gigabyte Tech
GPU-008;ASUS AMD Radeon RX 6600 8GB;230000;12;ASUS Latam
GPU-009;ZOTAC NVIDIA GeForce RTX 4070 12GB;599990;4;Zotac Gaming
GPU-010;SAPPHIRE AMD Radeon RX 7800 XT 16GB;550000;5;Sapphire Tech
MB-001;ASRock B450M-HDV;62458;10;ASRock Global
MB-002;ZEBRONICS ZEB-H81M2 NVMe;26939;15;Zebronics Official
MB-003;ASUS PRIME H610M-E D4;98450;10;ASUS Latam
MB-004;MSI B550M PRO-VDH WIFI;142989;5;MSI Chile
MB-005;ASUS PRIME A320M-K;65989;10;ASUS Latam
MB-006;ASRock B550M Pro4;103180;8;ASRock Global
MB-007;MSI MAG B650 TOMAHAWK WIFI;210000;6;MSI Chile
MB-008;ASUS TUF GAMING Z790-PLUS WIFI;280000;4;ASUS Latam
MB-009;GIGABYTE X670E AORUS MASTER;450000;2;Gigabyte Tech
MB-010;GIGABYTE A520M K V2;55000;12;Gigabyte Tech
PSU-001;Ant Esports VS450L 450W;18150;15;Ant Esports
PSU-002;ZEBRONICS ZEB-VS500Z 500W;21989;20;Zebronics Official
PSU-003;COOLER MASTER MWE 450 Bronze;36839;10;Cooler Master
PSU-004;Deepcool PM850D 850W 80+ Gold;88385;5;Deepcool
PSU-005;ASUS ROG Strix 850G 850W;186989;3;ASUS Latam
PSU-006;Foxin FPS 800 250W;11539;25;Foxin India
PSU-007;EVGA 600 W2 600W 80+ White;45000;12;EVGA Corp
PSU-008;Corsair RM750e 750W 80+ Gold;110000;8;Corsair Chile
PSU-009;Thermaltake Smart 500W 80+ White;35000;15;Thermaltake
PSU-010;Corsair RM1000x 1000W 80+ Gold;190000;4;Corsair Chile
RAM-001;Hynix DDR3 8GB PC;8360;30;SK Hynix
RAM-002;HyperX Fury DDR3 8GB 1866MHz;14135;20;Kingston Tech
RAM-003;ADATA XPG GAMMIX D30 DDR4 8GB;21725;25;ADATA Corp
RAM-004;XPG GAMMIX DDR4 16GB 3200MHz;36190;15;ADATA Corp
RAM-005;Corsair Vengeance LPX DDR4 16GB;71269;10;Corsair Chile
RAM-006;Crucial Basic DDR4 8GB 2666MHz;21989;20;Micron Tech
RAM-007;Kingston FURY Beast DDR5 16GB 5200MHz;65000;15;Kingston Tech
RAM-008;Corsair Vengeance DDR5 32GB (2x16) 6000MHz;120000;8;Corsair Chile
RAM-009;G.Skill Trident Z5 RGB DDR5 32GB 6400MHz;145000;5;G.Skill Int
RAM-010;Kingston FURY Beast DDR4 32GB 3200MHz;75000;10;Kingston Tech
CAB-001;Ant Esports ICE-120AG Mid Tower;28919;10;Ant Esports
CAB-002;Matrix MTXCC009 MINI TOWER;19778;15;Matrix Case
CAB-003;Deepcool MATREXX 40 MATX;30921;8;Deepcool
CAB-004;Ant Esports ICE-211TG ARGB;33539;10;Ant Esports
CAB-005;Ant Antice-120A Gaming Cabinet;37939;5;Ant Esports
CAB-006;Deepcool CK560 Mid-Tower;91014;4;Deepcool
CAB-007;NZXT H5 Flow Compact Mid-Tower;95000;6;NZXT Corp
CAB-008;Corsair 4000D Airflow Tempered Glass;105000;5;Corsair Chile
CAB-009;Lian Li Lancool 216 RGB;115000;4;Lian Li
CAB-010;Thermaltake Versa H18 Window Micro-ATX;45000;12;Thermaltake
